"S" "I" "t"
"1" 19 1 0
"2" 19 1 0.0920811691321433
"3" 18 2 0.0920811691321433
"4" 18 2 0.273151174739198
"5" 17 3 0.273151174739198
"6" 17 3 0.43588767182143
"7" 17 2 0.43588767182143
"8" 17 2 0.616297144500811
"9" 16 3 0.616297144500811
"10" 16 3 0.871149429429449
"11" 15 4 0.871149429429449
"12" 15 4 1.29668558676039
"13" 14 5 1.29668558676039
"14" 14 5 1.35919293912383
"15" 14 4 1.35919293912383
"16" 14 4 1.49652657272561
"17" 13 5 1.49652657272561
"18" 13 5 1.50777990006084
"19" 13 4 1.50777990006084
"20" 13 4 1.6363518216227
"21" 13 3 1.6363518216227
"22" 13 3 1.8882645651953
"23" 13 2 1.8882645651953
"24" 13 2 1.92322134418711
"25" 12 3 1.92322134418711
"26" 12 3 2.12280162525136
"27" 11 4 2.12280162525136
"28" 11 4 2.37561046754599
"29" 10 5 2.37561046754599
"30" 10 5 2.84459040861978
"31" 10 4 2.84459040861978
"32" 10 4 2.87810808459854
"33" 10 3 2.87810808459854
"34" 10 3 3.24071650205451
"35" 9 4 3.24071650205451
"36" 9 4 3.27387027166563
"37" 9 3 3.27387027166563
"38" 9 3 3.6403477766711
"39" 9 2 3.6403477766711
"40" 9 2 3.80956855924839
"41" 9 1 3.80956855924839
"42" 9 1 4.24513266327083
"43" 8 2 4.24513266327083
"44" 8 2 4.45816095443324
"45" 8 1 4.45816095443324
"46" 8 1 5.0889533487973
"47" 8 0 5.0889533487973
