"beta" "gamma"
"1" 3.39486577315256 2.2262741078157
"2" 3.91440435079858 2.91825338033959
"3" 0.67928064847365 0.697529804892838
"4" 2.50288498122245 2.38965557771735
"5" 2.08293044706807 1.07189808622934
"6" 2.25196106359363 1.51991830207407
"7" 2.37839588429779 1.07500756508671
"8" 3.66378769511357 2.08115765824914
"9" 0.852662464603782 1.48389053763822
"10" 1.78214840358123 1.77108628908172
"11" 2.57180078653619 1.04676875052974
"12" 3.05929642636329 1.43107895390131
"13" 1.17817405611277 0.641793435206637
"14" 2.13893315522 1.63670525420457
"15" 3.33046476822346 1.45953774568625
"16" 3.11172845773399 1.7106541688554
"17" 1.97728364961222 1.59257668885402
"18" 1.57801257213578 1.82041823747568
"19" 2.64949230011553 1.07386297546327
"20" 2.53880634438246 2.153616391588
"21" 1.53892658650875 2.6225319923833
"22" 2.10424418561161 1.6824755189009
"23" 2.4314183392562 2.15801698854193
"24" 0.817554404493421 0.915294351289049
"25" 1.77416959544644 0.702126139076427
"26" 1.62311141612008 1.21629824629053
"27" 1.75783837446943 1.20410907897167
"28" 1.58351477002725 0.62647650251165
"29" 5.9948770259507 1.51704895310104
"30" 1.37162369675934 1.04580094688572
"31" 3.19402674445882 1.63659737445414
"32" 2.88849042030051 1.15972677827813
"33" 1.30304995691404 0.912877168739215
"34" 2.87894458975643 2.56281189969741
"35" 1.85512394877151 1.35572344181128
"36" 5.10783076984808 2.20386397093534
"37" 2.68366901436821 1.68147221789695
"38" 0.815709580201656 1.18168221786618
"39" 1.30521331215277 0.915540953865275
"40" 1.11819428391755 0.825946831610054
"41" 1.35322784539312 2.72581516299397
"42" 1.05023405514657 1.48105621803552
"43" 2.04807747155428 0.771852413890883
"44" 2.20647912705317 1.65942818624899
"45" 1.59655346535146 1.72402499010786
"46" 1.51346838101745 2.58571381447837
"47" 1.50836373213679 1.71406115521677
"48" 1.46401368547231 1.60349092795514
"49" 3.19992251927033 1.91508596646599
"50" 2.6877505867742 2.8335359657649
"51" 1.0933213820681 0.648319324245676
"52" 1.79151342483237 2.2113957896363
"53" 2.5918256258592 1.52336979983374
"54" 0.627276543527842 0.634810928022489
"55" 1.35831543477252 0.751320170238614
"56" 3.21549820248038 1.19803470792249
"57" 2.72115085972473 3.27262213802896
"58" 3.16115165362135 1.88827431411482
"59" 0.734397983178496 2.08699887618423
"60" 1.85321834869683 2.05117530887946
"61" 3.04938699351624 1.71992397517897
"62" 2.00362681178376 1.70708409161307
"63" 1.44810150377452 1.45815911353566
"64" 1.84909022646025 1.73182645463385
"65" 1.85922725591809 1.27871108357795
"66" 0.791125195100904 0.596812705043703
"67" 3.28441321849823 1.53408861835487
"68" 2.62065160321072 1.6089330939576
"69" 0.593294650316238 1.1675444082357
"70" 1.03654279606417 1.16059186169878
"71" 1.96436619153246 1.31832058541477
"72" 1.92911587655544 1.68188871466555
"73" 1.92126669920981 1.02650156011805
"74" 1.75352266058326 1.03933420265093
"75" 2.3450272786431 2.10522088687867
"76" 1.75060507841408 1.92825141246431
"77" 3.41034716460854 1.95704058045521
"78" 1.93924695951864 0.930058660451323
"79" 2.08707499783486 1.52283196570352
"80" 3.16596458433196 1.16345132468268
"81" 1.56286226585507 0.86727709043771
"82" 1.62197231082246 0.961911833146587
"83" 2.60057872161269 1.18087545619346
"84" 2.40417245076969 1.06017629965208
"85" 0.858794797677547 0.86051797028631
"86" 2.2016076091677 1.54773646499962
"87" 0.773629082832485 0.902303374605253
"88" 2.21695877378806 1.31065267371014
"89" 2.77098322054371 1.00499655585736
"90" 1.81843583239242 2.40834263619035
"91" 1.26204405678436 1.33373650838621
"92" 1.68916613794863 1.78931702044792
"93" 4.80487799970433 1.84829111909494
"94" 2.48610417125747 1.35511687141843
"95" 2.77154430514202 1.73264272627421
"96" 1.94066520547494 0.998392697656527
"97" 2.7389307320118 0.991629747441038
"98" 1.78059420315549 2.03828306053765
"99" 3.56812808662653 2.16127712279558
"100" 2.21448352793232 1.51660596136935
"101" 3.81698486628011 2.54396884469315
"102" 1.36938968440518 1.54312975122593
"103" 2.06999287707731 1.12029443727806
"104" 1.53671246487647 0.968368988251314
"105" 1.72463239170611 0.870525580830872
"106" 2.98139201011509 3.29075279994868
"107" 2.42190055781975 1.2210537714418
"108" 1.85425304574892 2.03197349677794
"109" 1.12279584165663 0.788019048050046
"110" 2.3735445458442 1.46033617784269
"111" 3.16002409439534 1.22766723041423
"112" 2.63880388112739 1.52317892410792
"113" 0.951658789999783 1.04293295647949
"114" 1.97341498220339 1.11868975567631
"115" 1.49014771450311 1.35812045424245
"116" 2.72038261638954 1.60397700732574
"117" 3.77122775418684 1.41315832268447
"118" 1.86099640559405 1.53360364143737
"119" 1.82096132542938 1.19814912555739
"120" 3.59937911853194 1.55125366873108
"121" 4.39818727783859 2.59336290997453
"122" 1.45817187381908 0.857320280047134
"123" 3.24109888635576 1.46203646203503
"124" 3.57450277078897 1.64712394587696
"125" 1.17203410947695 1.18463374092244
"126" 2.52083398401737 1.20769352652133
"127" 1.13257548073307 1.51339305448346
"128" 4.50294188223779 2.2825490788091
"129" 1.84616295387968 1.0411910538096
"130" 2.11260788841173 1.94851641426794
"131" 1.60928376251832 1.28475257777609
"132" 1.62657148670405 0.878453577170148
"133" 2.24467849591747 2.20278410706669
"134" 2.63651379616931 1.23688900843263
"135" 2.18566078925505 1.04617834789678
"136" 2.29326002998278 1.39754916075617
"137" 0.986373766791075 1.146120284684
"138" 2.124430059921 2.40501332329586
"139" 1.31412297254428 1.66872574132867
"140" 2.04334017587826 0.657744832569733
"141" 2.1321449521929 1.52040899032727
"142" 2.23883536411449 1.27569442964159
"143" 1.89301188336685 1.14096283796243
"144" 2.92764611542225 2.04515772638842
"145" 1.41772374743596 0.872268910752609
"146" 2.63218704145402 0.864862500457093
"147" 0.732316414359957 0.603104754118249
"148" 2.95029179891571 3.87421902967617
"149" 3.84536622324958 1.95629170280881
"150" 3.01708891056478 1.41334276762791
"151" 2.5579359405674 1.41080526984297
"152" 2.32524804538116 1.46785524906591
"153" 1.21868157992139 0.683225885732099
"154" 2.55048313410953 1.31298766704276
"155" 2.4076434946619 1.55108388862573
"156" 1.10046179499477 0.759803871624172
"157" 1.37113594915718 1.90527253318578
"158" 2.5445644906722 1.21565412497148
"159" 2.75833994848654 0.790414911461994
"160" 0.943577107973397 2.69132210174575
"161" 2.72866655141115 1.21977027505636
"162" 2.16520169749856 1.45823530619964
"163" 2.06971254898235 0.97472081775777
"164" 1.91838177153841 1.49660030379891
"165" 1.01612135302275 1.09149442054331
"166" 1.63670888403431 1.95913465111516
"167" 1.47100019967183 0.684821383329108
"168" 2.97554797725752 2.92632526601665
"169" 1.89177977386862 1.73912693047896
"170" 1.13180678803474 1.50688341353089
"171" 2.26258284179494 1.21134189539589
"172" 2.9256446659565 2.34256816911511
"173" 1.14612858975306 0.901688555022702
"174" 1.88432289054617 1.53027990134433
"175" 4.44538342067972 0.914801128674299
"176" 1.5617478499189 1.3147806795314
"177" 2.67263770336285 1.98814115487039
"178" 0.994529195595533 1.11402291571721
"179" 2.42205693619326 1.49718916974962
"180" 1.44910943228751 2.33865159447305
"181" 1.41572279622778 1.41336621018127
"182" 2.01189397135749 1.35361745604314
"183" 2.69072772236541 1.03470877278596
"184" 2.46237883809954 1.63160621887073
"185" 2.78484208974987 2.9243337851949
"186" 3.004142253194 2.53687438438646
"187" 2.57592984475195 1.24576847651042
"188" 1.34542545769364 1.16767779109068
"189" 1.79199190577492 1.1384578270372
"190" 1.9413839513436 1.05918654822744
"191" 2.10389668820426 1.4045762992464
"192" 0.588516427669674 0.967844350961968
"193" 2.25047445623204 1.83299601194449
"194" 1.79983933689073 1.12256927299313
"195" 2.1539987414144 1.96400717133656
"196" 1.63264125818387 1.31367029738612
"197" 1.00959202973172 1.92217900883406
"198" 1.9675427605398 1.13093798863702
"199" 1.26054779393598 0.902281053131446
"200" 4.58852796582505 2.73419682052918
"201" 1.26058587804437 1.19660638854839
"202" 1.45167025038972 1.37175995390862
"203" 2.65717976726592 1.2283382168971
"204" 1.97490404825658 1.57847885042429
"205" 2.3398363776505 1.08096001204103
"206" 1.31956633413211 1.07599213020876
"207" 2.79311802005395 2.46165259624831
"208" 4.68517870176584 2.14721666532569
"209" 2.3985986574553 1.94375243387185
"210" 2.38240976119414 1.72596523421817
"211" 1.96300756419078 1.4469767943956
"212" 2.61170419631526 1.67441727709956
"213" 1.10972015885636 1.03266609483398
"214" 4.29278756026179 3.29695648280904
"215" 2.56264762021601 2.36689850920811
"216" 2.24131208378822 1.83858732809313
"217" 1.42813015496358 0.610095859738067
"218" 1.93969473009929 1.72550099436194
"219" 2.03129087109119 1.47730533150025
"220" 1.14664673805237 0.765634240815416
"221" 1.56838927650824 1.59782845294103
"222" 2.44459320558235 1.11513573094271
"223" 0.779834219720215 1.25096278265119
"224" 3.64424364874139 1.3703204470221
"225" 2.25057625211775 1.66421326110139
"226" 1.16104046115652 1.7504585091956
"227" 0.91619732324034 0.721094768960029
"228" 2.9933641012758 2.21569787245244
"229" 1.41231701476499 0.693489440018311
"230" 0.99324099952355 0.91041489969939
"231" 2.27136821486056 1.34492237702943
"232" 1.63766595767811 0.858864891342819
"233" 2.00955500360578 1.52926841983572
"234" 3.0411166511476 1.05801233206876
"235" 1.13140605622903 0.624918751418591
"236" 1.34196281433105 1.12633791402914
"237" 2.52758023096249 1.90521630458534
"238" 3.24283396592364 2.59078538045287
"239" 1.33038694271818 0.811666757799685
"240" 1.46686357911676 0.728443885454908
"241" 1.66951828170568 0.969662688439712
"242" 2.07065471448004 1.52775077498518
"243" 2.89338815258816 2.01651167240925
"244" 1.74398065777496 1.36857298552059
"245" 2.59853020543233 1.43442583852448
"246" 1.9833692512475 0.940652788849548
"247" 2.00702433241531 1.02494608378038
